brand, product_name, price, shipping
EVGA,EVGA GeForce GTX 1050 SC GAMING, 02G-P4-6152-KR, 2GB GDDR5, DX12 OSD Support (PXOC),b'|\n$149.99\xc2\xa0(7 Offers)\n\n\xe2\x80\x93',b'$4.99 Shipping'
GIGABYTE,GIGABYTE GeForce GTX 1060 DirectX 12 GV-N1060G1 GAMING-3GD 2.0 Video Card,b'|\n$399.99\xc2\xa0(2 Offers)\n\n\xe2\x80\x93',b'$4.99 Shipping'
ASUS,ASUS GeForce GTX 1050 PH-GTX1050-2G Video Card,b'|\n$139.99\xc2\xa0(6 Offers)\n\n\xe2\x80\x93',b'$4.99 Shipping'
GIGABYTE,GIGABYTE GeForce GTX 1060 DirectX 12 GV-N1060WF2OC-3GD Video Card,b'|\n$379.99\xc2\xa0(2 Offers)\n\n\xe2\x80\x93',b'$4.99 Shipping'
XFX,XFX Radeon R5 230 R5-230A-CLF2 Video Card,b'|\n$49.99\xc2\xa0(4 Offers)\n\n\xe2\x80\x93',b'$2.99 Shipping'
ZOTAC,ZOTAC GeForce GT 710 DirectX 12 ZT-71302-20L Video Card,b'|\n$42.75\xc2\xa0\r\n            \n\xe2\x80\x93',b'$5.29 Shipping'
ZOTAC,ZOTAC GeForce GT 1030 2GB GDDR5 64-bit PCIe 3.0 DirectX 12 HDCP Ready Low Profile Video Card ZT-P10300A-10L,b'|\n$89.99\xc2\xa0\r\n            \n\xe2\x80\x93',b'$3.99 Shipping'
MSI,MSI Radeon R7 250 DirectX 12 R7 250 2GD3 OC Video Card,b'',b'$3.99 Shipping'
EVGA,EVGA GeForce GTX 1050 SSC GAMING ACX 3.0, 02G-P4-6154-KR, 2GB GDDR5, DX12 OSD Support (PXOC),b'',b'Free Shipping'
ASUS,ASUS GeForce GT 1030 2GB GDDR5 HDMI DVI Graphics Card (GT1030-2G-CSM),b'|\n$82.99\xc2\xa0(14 Offers)\n\n\xe2\x80\x93',b'$3.99 Shipping'
AMD,AMD Radeon Vega Frontier Edition 100-506061 16GB 2048-bit HBM2 Video Cards - Workstation,b'|\n$949.99\xc2\xa0(3 Offers)\n\n\xe2\x80\x93',b'$4.99 Shipping'
GIGABYTE,GIGABYTE GeForce GTX 1050 DirectX 12 GV-N1050OC-2GD Video Card,b'|\n$139.99\xc2\xa0(2 Offers)\n\n\xe2\x80\x93',b'$4.99 Shipping'
